employee;timestamp;amount
fe6ad68c-f4e3-4cac-aec1-00cc372f3b26;1481792400000;5230
d3d46117-52ba-44ce-8e92-cbb6ef7d8a61;1481792400000;3238
12095485-f7fc-4f69-b126-8e59b30bb68c;1481792400000;6132
e2bcc643-131b-48c2-94d6-e3e501d4f762;1481792400000;4398
05ffd3b1-1123-425b-b004-37da0aad26c6;1481792400000;5174
2fba8878-f234-4b4a-a27a-06c7233bcb17;1481792400000;7400
7f8b7a38-aea4-48c1-b8ed-1eeb28207ec4;1481792400000;3808
5e170e56-1b0a-4620-a30c-ddbe3a570d02;1481792400000;6851
e6d227e2-809e-4ca2-972d-ab094915b2bb;1481792400000;3853
5cd8d5cc-ac3e-4d6c-96b5-730398557a49;1481792400000;5295
371342f4-5440-4319-8554-11a4ca987a62;1481792400000;4466
85d8621c-2cba-48f8-bf36-94eda1e3e7b2;1481792400000;7251
b726ce73-8682-4050-accd-def7d0b55a8b;1481792400000;4481
c2915165-f926-4be5-ae96-5e08be453c33;1481792400000;6773
f3d009d3-d398-47ad-9ec3-30a31f5da946;1481792400000;7763
a186521a-3046-4a1d-812a-4d6f22d5f61c;1481792400000;3824
470059fa-3575-4ec3-a05c-3fbda4aecc3d;1481792400000;4122
ba90e694-283e-4a25-b4ec-d60fd3c119e9;1481792400000;7266
42f3b03b-c2cf-4973-99b2-3cc20bfa54f7;1481792400000;6857
09e8d10e-aa8c-4aee-8a18-ee96a06d1c2e;1481792400000;3239
1ee7e775-6e31-428a-aec6-da90aab3e80e;1481792400000;4229
884fe852-b5de-4cdc-9c65-5d19491e1cd4;1481792400000;7885
e5002759-29be-475c-b30f-38843446589b;1481792400000;4430
e1b76144-27c6-4834-bb70-0504a489d2d2;1481792400000;3581
2264ef3e-5a8f-4ce2-b510-dd6a88032ad5;1481792400000;7759
6849e493-6ad7-4fcd-a036-77f25b56277a;1481792400000;3966
5505bc72-6632-4fc3-9e5d-caa4794e00fa;1481792400000;4024
e43ec26e-3bc3-47c6-9c0c-b5e8f50b3305;1481792400000;5471
b55ab2a6-5830-4986-8ba8-d45f4976c990;1481792400000;7671
c40b9bc2-9af7-4d85-bd62-2b6877579a03;1481792400000;4282
c3339595-5d46-4b24-aee0-b91316426c42;1481792400000;7917
26393952-d936-4549-b211-a6c2482360c8;1481792400000;5700
d7116ef7-a5b9-414b-9b64-a0bb003afce1;1481792400000;5411
70d09c29-624f-4639-9cf6-4585d5942473;1481792400000;5053
ad5b4884-9000-4510-a667-6fa0e0eac6b8;1481792400000;5364
d224260b-6643-47a4-9374-69e5fbf356a0;1481792400000;4675
ee11ea5d-98aa-4680-8432-7bbf8968c428;1481792400000;6310
1caff578-9772-4eb5-a17b-83596e6d6139;1481792400000;6689
760c3b47-b1e8-4834-9924-762cfbccb5e4;1481792400000;6048
ee524c7b-9cb3-44e2-83e9-6f011a3d22ba;1481792400000;6718
a4c00867-3af1-4299-8f3e-270c7f8d12a5;1481792400000;5728
dae6651b-72e4-4041-9242-bc17120af300;1481792400000;6804
c5df22ba-4244-44df-a058-1856d1edf2a1;1481792400000;5305
d3cf4429-d648-44e8-9db6-0fcc680106ae;1481792400000;7016
77713142-dd35-4cc0-9451-1b9d14fb37e2;1481792400000;6530
5d8adfae-de4a-4df6-954b-bd8d145dfafd;1481792400000;7809
57757012-f750-48c1-8b46-46e9c0d00657;1481792400000;3494
bb6308a7-45c8-45cf-9f4c-7f8c79db1903;1481792400000;3435
b8088f65-6b61-4588-9d4e-eb92a2e753bd;1481792400000;7311
8ea0bd6d-e38f-49e8-8c2a-e6637f7cb748;1481792400000;3851
e448f5e9-845d-49e6-98d9-616a0cd0a717;1481792400000;6194
4d7f6ddc-3568-4834-8541-f77b8a93a819;1481792400000;3194
37143669-1455-4466-aa66-f19f5ddfc5d5;1481792400000;6734
5f96011e-9426-4630-9445-3cd78030e0f6;1481792400000;3250
97ae2160-20b5-4e45-9628-2b3605cd0f2f;1481792400000;5870
890e6945-1b9a-4420-88b3-818b40c66690;1481792400000;6218
cff071ae-23c3-48f3-8f8e-ddff1e6a34dd;1481792400000;5399
a07dc77d-edd5-49b6-bde1-5400275af833;1481792400000;6656
886a56dd-265d-453a-81ac-a6d4e341817a;1481792400000;6092
b59e3553-5b42-4cb7-8e6f-03652e11a971;1481792400000;5339
dd533b33-edd9-43d0-bc9e-e23258b37cc4;1481792400000;3846
6c7e53ee-6ec4-4c52-9125-23bd8b47f1a7;1481792400000;3527
229bfbd1-ddd7-446d-b8eb-e47bdd71ee93;1481792400000;3666
5dba1ec5-849e-42d5-9d43-dfadd96e27e0;1481792400000;7926
d638fca7-5f40-4675-83e7-d55a7361166d;1481792400000;5547
33fdb38c-1ddd-412b-bf48-70d177e6cfd6;1481792400000;7411
9de86039-dec9-42a3-9deb-ae3797474495;1481792400000;7259
26a25444-1bfe-42cd-83d7-7fb7b3f7185e;1481792400000;3014
